[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3933038679.99409,08/17/2024,5:41 am
BYAPP,SQUID AC,0.9.1.1
INFO,MPMS3 Measurement Release 1.1.17 Build 99, MultiVu Release 2.3.4.26,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1291,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM360,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC246,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI371,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Rublev-yellow-ocher-dark,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,9.591,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.57,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,LS Wavelength (nm),LS Status (code),VSDO 03,VSDO 04,VSDO 05,VSDO 06,VSDO 07,VSDO 08,VSDO 09,VSDO 10,VSDO 11,VSDO 12,VSDO 13,VSDO 14,VSDO 15,VSDO 16,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3933040011.10282,9.9999885559082,0,0.0348998232981007,7.59105566097584e-06,1,2,11.9032497406006,4.98565918466147,33.0200009047985,46.5422113295022,6.63566698448295,100,3.65130877742507e-05,,,,,,,,,,,,,,,,,,,,,9.9999885559082,9.9999885559082,0,0,48.6692721926878,4.97397105212341,5.79247617721558,24,1,0,0,1,0.2398681640625,34.7018585205078,1,1,1,9.9999885559082,0,3158316448,9.9999885559082,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933040214.18883,13.9722537994385,0,0.0344635393647372,6.63157113902463e-06,1,2,11.9032497406006,4.97712806862346,33.0200009047985,45.8513458815845,6.52847239302485,100,2.94192002353768e-05,,,,,,,,,,,,,,,,,,,,,13.9722537994385,13.9722537994385,0,0,48.8029306694763,5.00586183043928,6.09907484054565,24,1,0,0,1,0.244827270507813,33.2355842590332,1,1,1,13.9722537994385,0,3158316704,13.9722537994385,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933040409.89672,17.9452877044678,0,0.0339732550824688,5.56430276166947e-06,1,2,11.9032497406006,4.98749578157874,33.0200009047985,45.3314152835396,6.4523255070766,100,2.73891594084038e-05,,,,,,,,,,,,,,,,,,,,,17.9452877044678,17.9452877044678,0,0,48.7396187594186,5.00735186490072,6.28113079071045,24,1,0,0,1,0.244674682617187,33.2355842590332,1,1,1,17.9452877044678,0,3158316480,17.9452877044678,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933040599.12865,21.9178657531738,0,0.0335262341488041,6.30406277393178e-06,1,2,11.9032497406006,4.98678335360124,33.0200009047985,44.7267229862732,6.3609894499724,100,2.30199373131879e-05,,,,,,,,,,,,,,,,,,,,,21.9177856445313,21.9179458618164,0,0,48.8506100091494,5.00688938938032,6.37795877456665,24,1,0,0,1,0.2386474609375,33.2355842590332,1,1,1,21.9177951812744,0,3158316768,21.9178657531738,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933040790.42459,25.8904876708984,0,0.033081386199654,4.99913835093058e-06,1,2,11.9032497406006,4.98660890897469,33.0200009047985,44.1317905312118,6.27137913617085,100,1.89082919260145e-05,,,,,,,,,,,,,,,,,,,,,25.8904876708984,25.8904876708984,0,0,48.7724471572263,5.00949763101761,6.49738788604736,24,1,0,0,1,0.246810913085938,34.2131004333496,1,1,1,25.8904876708984,0,3158316704,25.8904876708984,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933040982.16155,29.8627834320068,0,0.0326237404592437,3.42683169727073e-06,1,2,11.9032497406006,4.98694314677754,33.0299995839596,43.5251126692674,6.18695567021086,100,2.00085097946262e-05,,,,,,,,,,,,,,,,,,,,,29.8627452850342,29.8628215789795,0,0,48.6888129056686,5.00932635106414,6.58216667175293,24,1,0,0,1,0.23529052734375,33.2355842590332,1,1,1,29.8628215789795,0,3158316704,29.8627834320068,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933041175.37749,33.8351249694824,0,0.0321917729722755,5.3466674573018e-06,1,2,11.9032497406006,4.98613319840621,33.0299995839596,42.9403123575157,6.09457960110847,100,1.2701644608011e-05,,,,,,,,,,,,,,,,,,,,,33.8349914550781,33.8352584838867,0,0,48.6798241776975,5.01302124973145,6.62686729431152,24,1,0,0,1,0.240402221679687,32.7468223571777,1,1,1,33.8352584838867,0,3158316512,33.8351249694824,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933041369.15925,37.8068656921387,0,0.031767309432107,6.46033208024397e-06,1,2,11.9032497406006,4.98535715198814,33.0299995839596,42.3637809869129,6.02069804682727,100,1.85860896274005e-05,,,,,,,,,,,,,,,,,,,,,37.8068580627441,37.8068733215332,0,0,48.576649213159,5.01632764748765,6.68723630905151,24,1,0,0,1,0.238189697265625,33.2355842590332,1,1,1,37.8068580627441,0,3158316672,37.8068656921387,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933041566.01047,41.7785472869873,0,0.0313253065271763,6.08697584313332e-06,1,2,11.9032497406006,4.98644828698851,33.0399982631207,41.788181099286,5.93148155034343,100,1.26837887829632e-05,,,,,,,,,,,,,,,,,,,,,41.7781791687012,41.7789154052734,0,0,48.5840746840917,5.01071712972016,6.74336528778076,24,1,0,0,1,0.236740112304687,33.7243423461914,1,1,1,41.7789154052734,0,3158316704,41.7785472869873,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933041762.24783,45.7486724853516,0,0.0308690506447156,4.99717212938061e-06,1,2,11.9032497406006,4.98693345127615,33.0399982631207,41.1850481796005,5.84657440478148,100,1.30338396355695e-05,,,,,,,,,,,,,,,,,,,,,45.7482986450195,45.7490463256836,0,0,48.7228137462552,5.01144310421237,6.83755683898926,24,1,0,0,1,0.243148803710938,33.7243423461914,1,1,1,45.7490463256836,0,3158316704,45.7486724853516,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933041959.56505,49.7179183959961,0,0.0304296187872077,5.29822362757916e-06,1,2,11.9032497406006,4.9858260793977,33.050000667572,40.5844282108695,5.77360926855244,100,2.22131968639248e-05,,,,,,,,,,,,,,,,,,,,,49.7172737121582,49.718563079834,0,0,48.6798241776975,5.01542799054788,6.98137474060059,24,1,0,0,1,0.236892700195313,34.2131004333496,1,1,1,49.718563079834,0,3158316352,49.7179183959961,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933042158.85108,53.686897277832,0,0.0299673888974187,5.00024433924578e-06,1,2,11.9032497406006,4.98555210808591,33.050000667572,39.9649009949578,5.68523722854484,100,2.16952553615919e-05,,,,,,,,,,,,,,,,,,,,,53.6859092712402,53.6878852844238,0,0,48.6813874347359,5.01565617562146,7.26668357849121,24,1,0,0,1,0.2374267578125,33.2355842590332,1,1,1,53.6878852844238,0,3158316672,53.686897277832,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3933042358.64103,57.6548500061035,0,0.0295395935636322,5.23627207730284e-06,1,2,11.9032497406006,4.98426043966743,33.050000667572,39.3825175893494,5.58485785467401,100,8.02973559915794e-06,,,,,,,,,,,,,,,,,,,,,57.6537132263184,57.6559867858887,0,0,48.7091352471686,5.02439768526128,7.65117788314819,24,1,0,0,1,0.238418579101562,33.7243423461914,1,1,1,57.6559867858887,0,3158316832,57.6548500061035,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
